alpha,g_Leak,vSTMD_AUC,vSTMD_F_AUC,vSTMD_AAE,vSTMD_F_AAE
0.45873814072481933,0.17282954854650404,0.35275176428324945,0.6014092660834978,0.5233412075133596,0.40213591975918783
0.37214547964519806,0.3826259209759426,0.45700783661655725,0.6189649008439214,0.6986092548361764,0.5882777412279344
0.6148764761083102,0.25699166347736896,0.3395607391431125,0.6250155075964879,0.5213660747019626,0.43888076551869437
0.35116435326470125,0.29773737710382053,0.4489208543540865,0.6064481418925263,0.5858112232633006,0.460867785172101
0.4806994148160461,0.2712085931647572,0.4010001107907856,0.6191471416302798,0.5327418410842202,0.43775192405845903
0.1185435405113472,0.23034529690822028,0.4041186007195565,0.5078780375185794,0.6487329027098248,0.45679145413574795
0.12373624032897376,0.3737864784548671,0.5019889153972021,0.560213787984885,0.8936740311036754,0.6078528939892622
0.500753309213381,0.387348631572503,0.38415584497480243,0.6211586502376799,0.6457970896339689,0.5996706697627475
0.542490444452173,0.3275001695085331,0.37146803286540103,0.6240717181990145,0.5571933021476236,0.5043699382629537
0.4524102476839354,0.1733706528300559,0.35481850302878604,0.6006412246926182,0.5197035869250519,0.40139128508110267
0.384935991315599,0.13645750126097486,0.32460182201407006,0.5761193313255394,0.5400061236274493,0.4228921272383966
0.09064254638800792,0.2304014419200949,0.39572061149396615,0.49486035750567825,0.6927555409231386,0.4736290671365387
0.26870315625101376,0.37917452434411764,0.4950202194743332,0.6072227502533903,0.7748901491142263,0.586632481733892
0.21587383903467472,0.37753991142171783,0.504396317591615,0.5940455346837554,0.8102514248855535,0.5950062781456958
0.4261573953437604,0.38427351176028696,0.4270591142928831,0.6214327845572308,0.6654326051614192,0.5919564067587338
0.4386451148804684,0.29635856793027243,0.4221347481494757,0.6163841884481055,0.5538131230925101,0.45958629554260816
0.41663653934483835,0.2959985177340868,0.4307111040720035,0.6144885343018932,0.5617929414490977,0.45870985614861093
0.5320073598336855,0.26425765492591113,0.3772620454020295,0.6229244158742939,0.5241220594611472,0.43412565352239324
0.55496734574093,0.2623318469738353,0.36667437344645026,0.6244367636038243,0.5185797112671516,0.4346477293432862
0.5632320596910738,0.2635527272393522,0.36299809479607376,0.6242528588388461,0.5187035511988132,0.43756838623936
0.5138671447889847,0.26676734433366117,0.38570792717819685,0.6219040388064956,0.5282124998935197,0.43449417129292306
0.4621019908493745,0.2943818301718673,0.41224577521757627,0.6183072667225858,0.5491937367159707,0.4622677553048167
0.5913226098650156,0.26060928368506886,0.3496285917345338,0.6248238308504832,0.5192363027113412,0.43985182282095237
0.47768034942363047,0.2735332446160921,0.40322952273260393,0.6191128297060995,0.5345010376453148,0.44004141390365364
0.5018967692146783,0.2908688954741484,0.39412354233572167,0.6212960118571283,0.5455070489242955,0.46041474379144837
0.5235573909235278,0.2873853683279087,0.3827801382432811,0.6226581735414152,0.5388778987186983,0.4581334981589742
0.5272076858559833,0.2822771822244347,0.3814294795715773,0.6228455031952481,0.5337810461682404,0.45220333775294574
0.5129240196646377,0.27855846146074725,0.3886334065781688,0.6222070419363556,0.536183271621605,0.44712613021301273
0.5122271269466225,0.28485682226963366,0.3895427577111952,0.6214981952981766,0.5391862172926754,0.4539200895697711
0.3513319944663493,0.29880773991848236,0.4492369358079228,0.6066008599372562,0.5869491728448839,0.46226029739942903
0.49708234852115146,0.2888482880989528,0.3958979225460993,0.6205276446794855,0.544935492907339,0.45597197989019106
0.5048408150544524,0.2805137092147638,0.39146416205002865,0.6212612484465272,0.5374910182235183,0.44886097733877794
0.48924562156063917,0.2765506806119936,0.3988398528234549,0.620527576009813,0.5352417483378658,0.44300298061981946
0.4698346467842622,0.2921220621680195,0.4079629229985592,0.6190074611575934,0.5477353025383817,0.4601085015872431
0.4784373309996753,0.2675331018545445,0.40132927675644786,0.6186279352353558,0.5326662400554443,0.4341822521413337
0.4570242819748726,0.29966837007321656,0.41477017228016716,0.6180655325245998,0.5572155196910625,0.4670962461741113
0.6219094821525297,0.25430126732487573,0.33622272971586536,0.6255056912048155,0.5222265705269041,0.4380948935250713
0.5747283067830222,0.25336301160285846,0.35671115562552413,0.6248682706958931,0.5147353357042823,0.4300817794532495
0.5786633674158985,0.2514668671205658,0.3543755280033848,0.6250176971316675,0.5189539804680128,0.42976188320441683
0.4682870950145563,0.17683837443789574,0.35549888731684076,0.6031651273865926,0.5231683851402965,0.40089657356375297
0.45441455987343504,0.17613453553006625,0.3575192414635309,0.6008330455521064,0.5196404671622387,0.3999561350922745
0.5192770001561196,0.24986627115534357,0.3791142737454265,0.6210366572101336,0.5222116594716398,0.4229467192129434
0.49653972502505844,0.49761844527401616,0.35167490306383864,0.6051578394014856,0.8627712100563121,0.8265689134676251
0.49802234027899717,0.49879912025881995,0.35036054452600457,0.6047464255716336,0.8662036792831097,0.8301534987348466
0.15581765547514093,0.3685945553987212,0.5014728235990835,0.5711070672038087,0.848961674833047,0.5883411757250314
0.6543652022380031,0.35278183988985756,0.30648426161868914,0.6154146608612933,0.6472931083121928,0.5523774146931445
0.34488428476951877,0.3749524475768767,0.46968332201481877,0.6157708853158227,0.7044132691978184,0.5747522866198584
0.21583703151455869,0.3727714581699925,0.502540329866486,0.5928297621311095,0.7988804818399009,0.5865811468439426
0.4010443165877133,0.13968440152980052,0.32624200680984927,0.5812383621280032,0.5423399156681195,0.41985070698567584
0.12021265220700768,0.23668306755844185,0.4096768828116472,0.5112928691603746,0.6547063404735979,0.45803030060364164
0.42518425666123244,0.3765831292460951,0.42829368431581855,0.6211398880459938,0.6485572759489855,0.5785355252032868
0.27293929839593467,0.37283042424888063,0.491763008904739,0.6067485290634835,0.761282185440181,0.573782307764569
0.519992871407607,0.38195307320691685,0.3734666790793272,0.6205719172005012,0.6260483210866826,0.5934447558113621
0.5072041965632957,0.39794189600358587,0.37787530434062033,0.6195492167299147,0.6616703019296809,0.6183826826389384
0.12514042740241793,0.3689329579839324,0.4995780387325298,0.55934789078788,0.883187984246892,0.597125523823839
0.3895952346690669,0.1332473330336558,0.3190263740386433,0.5752857607403408,0.5485719807402121,0.42596944542377235
0.38127059095915816,0.3759126194447713,0.45264302869456197,0.619176561555689,0.6793169383653912,0.5741914578766076
0.5862410378312328,0.25539831323248485,0.351226174860776,0.624687452428706,0.5169425363360837,0.43373880807121
0.6553615199730586,0.35532836117364724,0.3051432521025092,0.6147401804882312,0.6492611755718091,0.5569749327598452
0.652011986496661,0.34873372158445864,0.30907434439254516,0.6159442200360287,0.6422764340213701,0.5443854732678381
